property_id,city,neighborhood,property_type,bedrooms,bathrooms,living_area_sqft,lot_size_sqft,year_built,garage,basement,sale_year,sale_price
47,15,45,3,3,2,1713,7117.0,1986,1,1,2022,595000
48,22,11,1,2,2,646,6257.154658221167,1990,0,0,2025,495000
49,14,54,0,3,1,865,3138.0,1997,1,1,2024,403000
51,4,60,1,2,1,918,6257.154658221167,1993,0,0,2023,499000
54,4,55,2,4,4,1576,6641.0,2023,1,1,2024,706000
56,15,27,1,2,1,664,6257.154658221167,1928,1,0,2023,459000
57,26,11,3,3,2,1973,6900.0,1959,1,1,2022,419000
58,4,56,3,5,3,1648,4026.0,1962,1,1,2025,580000
59,20,46,3,4,2,1924,5534.0,1959,1,1,2022,386000
60,16,71,3,4,3,1398,3611.0,1963,1,1,2024,730000
65,18,30,1,2,1,645,6257.154658221167,1963,0,0,2025,460000
67,27,61,4,3,2,1056,2595.0,2004,1,1,2023,422000
68,15,69,2,3,3,1802,3958.0,1996,0,1,2021,574000
69,19,43,3,4,3,1469,7966.0,1999,1,0,2022,195000
70,11,16,1,2,2,748,6257.154658221167,1976,0,0,2021,348000
72,12,31,2,4,3,1725,4941.0,1957,1,0,2023,703000
74,10,11,3,4,3,1942,9522.0,2022,1,1,2025,800000
75,15,37,1,2,2,725,6257.154658221167,1953,0,0,2021,296000
76,26,18,4,3,3,953,2221.0,1984,1,1,2023,235000
77,21,25,0,3,2,1141,6590.0,1985,1,0,2025,369000
78,9,22,3,5,2,1573,4054.0,1988,0,0,2025,564000
79,7,71,2,3,3,1620,5065.0,2015,0,0,2024,621000
80,15,0,4,2,3,871,2919.0,2021,1,1,2024,419000
81,11,15,2,4,3,1632,4677.0,2007,1,1,2022,631000
82,9,22,3,3,2,1753,8418.0,1971,1,1,2023,623000
83,5,9,1,2,1,938,6257.154658221167,2020,1,0,2024,452000
84,15,27,3,4,3,988,4194.0,1949,0,1,2025,466000
85,28,10,4,3,3,1141,2360.0,1996,1,0,2024,262000
86,23,23,1,2,2,693,6257.154658221167,2021,0,0,2025,326000
87,7,71,1,3,1,771,6257.154658221167,1976,0,0,2024,532000
88,4,57,2,5,3,1655,3678.0,1990,1,0,2025,623000
89,27,26,3,2,3,1254,7162.0,1974,1,1,2025,670000
90,11,41,1,2,2,603,6257.154658221167,2000,0,0,2022,356000
91,15,36,3,5,3,1462,8322.0,1954,0,1,2022,614000
93,24,5,3,5,3,1501,4236.0,1978,0,1,2023,401000
94,22,11,3,3,3,1851,4364.0,2017,0,1,2023,525000
95,12,67,1,2,2,843,6257.154658221167,2003,0,0,2023,386000
96,17,59,4,3,1,1097,3591.0,1969,1,1,2025,281000
97,15,69,3,5,1,1505,8405.0,1978,1,0,2021,490000
98,4,60,1,2,1,583,6257.154658221167,2013,1,0,2024,372000
99,15,27,2,6,2,1553,3298.0,1991,0,1,2023,792000
100,15,27,1,2,2,892,6257.154658221167,1958,0,0,2021,332000
101,19,43,1,2,1,768,6257.154658221167,1962,1,0,2023,192000
102,10,11,2,5,2,1606,4428.0,1990,1,0,2025,499000
103,18,42,3,3,1,1218,5600.0,1980,1,0,2021,373000
104,3,7,5,6,3,2603,4126.0,1977,1,0,2022,723000
106,4,56,3,5,2,1558,9091.0,1978,1,1,2024,712000
107,16,71,1,3,2,890,6257.154658221167,1983,1,0,2025,552000
108,17,59,3,3,1,1708,7051.0,1933,1,0,2023,389000
109,4,56,3,4,3,1099,8889.0,2005,1,1,2022,461000
110,14,47,4,3,2,847,2174.0,2011,1,1,2023,303000
111,17,63,3,5,2,1554,4824.0,1928,1,1,2025,387000
112,9,2,3,3,1,1066,5778.0,1998,1,1,2023,361000
113,15,68,3,4,2,1008,9336.0,1982,0,1,2023,485000
115,15,27,4,3,2,811,2629.0,1993,0,0,2024,300000
116,17,59,3,4,2,2012,5270.0,1978,1,1,2022,450000
118,15,27,1,2,2,789,6257.154658221167,1984,0,0,2025,482000
119,27,61,3,3,3,1816,8262.0,2011,1,1,2021,576000
120,26,11,3,5,3,1311,4730.0,2006,0,1,2025,438000
121,15,40,2,5,2,1495,4653.0,1912,1,1,2023,595000
122,23,23,3,3,3,1393,5171.0,1958,1,0,2025,420000
123,13,51,3,4,2,1592,9376.0,2016,1,1,2022,263000
124,14,54,3,4,2,2046,6970.0,2015,1,0,2024,520000
125,17,53,3,4,2,1567,9299.0,2018,1,1,2025,499000
126,11,15,3,4,2,1362,8072.0,2003,1,1,2021,396000
128,4,55,3,4,2,1806,7246.0,1976,1,1,2021,613000
129,15,68,3,2,4,1293,7271.0,1986,1,1,2021,405000
130,4,60,1,2,2,679,6257.154658221167,2000,1,0,2025,438000
131,21,24,3,6,3,1447,4424.0,2008,1,1,2024,365000
132,7,71,3,5,3,1815,6082.0,2011,0,1,2021,533000
133,12,20,3,5,2,1172,4574.0,1994,1,1,2024,596000
134,11,17,3,3,4,1615,4283.0,1986,1,0,2024,707000
135,21,24,3,4,2,2060,7267.0,2015,1,0,2025,416000
136,18,42,4,3,1,946,3350.0,1989,1,1,2025,395000
137,20,46,2,4,3,1370,5791.0,1997,0,1,2025,452000
138,14,54,1,3,2,707,6257.154658221167,1996,1,0,2024,345000
139,3,7,0,3,1,951,3635.0,1983,1,1,2025,654000
140,28,62,1,2,1,786,6257.154658221167,2007,0,0,2024,262000
141,17,53,1,2,2,879,6257.154658221167,1943,1,0,2022,274000
142,16,71,1,1,1,854,6257.154658221167,1961,1,0,2025,498000
143,18,30,1,1,2,889,6257.154658221167,2001,0,0,2023,453000
144,28,62,3,3,3,1434,6916.0,1998,1,1,2023,341000
145,27,61,1,2,1,592,6257.154658221167,1986,1,0,2021,352000
146,9,2,4,3,1,1210,3095.0,1967,1,1,2022,349000
148,18,42,1,2,1,801,6257.154658221167,1968,0,0,2025,493000
149,14,47,3,4,3,1596,6216.0,2020,1,1,2025,513000
150,21,24,1,2,1,860,6257.154658221167,1975,0,0,2022,236000
151,11,16,3,3,2,1394,4145.0,2015,1,1,2024,567000
152,26,33,3,5,4,1518,7016.0,1963,1,1,2023,421000
153,17,53,4,3,2,1008,3296.0,1917,1,1,2022,264000
154,17,34,1,2,1,730,6257.154658221167,1918,1,0,2023,291000
156,19,43,1,3,2,681,6257.154658221167,2014,1,0,2025,202000
157,12,49,3,6,1,1431,6673.0,1956,1,1,2021,445000
159,11,16,3,6,2,1609,8683.0,1985,1,1,2025,850000
160,15,69,1,1,2,796,6257.154658221167,1984,1,0,2024,360000
161,11,41,3,6,1,1467,5017.0,1988,1,0,2023,514000
162,9,19,1,2,2,563,6257.154658221167,2009,1,0,2025,384000
163,26,11,3,3,2,1470,4986.0,1976,1,0,2021,366000
164,15,39,3,3,4,1722,5706.0,1994,1,0,2025,707000
168,10,11,5,6,4,2421,3723.0,1978,1,0,2025,871000
169,12,67,2,5,3,2100,4855.0,1958,1,1,2024,675000
171,24,5,1,2,2,838,6257.154658221167,2012,1,0,2021,274000
172,23,11,3,5,3,1799,7744.0,2013,1,1,2023,408000
174,15,50,1,2,2,782,6257.154658221167,1994,0,0,2022,323000
175,15,36,3,6,2,1817,6423.0,1971,1,1,2024,734000
176,27,61,3,4,3,1855,5386.0,1993,0,1,2024,851000
177,17,63,2,4,2,1797,3480.0,1933,1,0,2024,448000
178,26,11,3,5,2,1397,4377.0,2020,1,1,2025,457000
179,17,12,1,2,1,975,6257.154658221167,2014,1,0,2023,371000
180,15,36,3,3,3,1564,4716.0,1957,0,1,2024,662000
181,9,2,3,5,2,1165,7221.0,1999,1,1,2021,387000
182,13,13,0,3,1,981,4832.0,1989,1,1,2025,394000
183,28,62,3,5,3,1705,5800.0,1996,0,1,2025,477000
185,9,22,3,6,3,1208,3201.0,1984,0,0,2024,450000
186,15,39,3,6,2,1799,5176.0,1953,1,1,2024,628000
187,15,40,3,5,2,1745,7113.0,1960,0,1,2023,588000
188,15,39,3,2,2,2122,8816.0,1957,1,0,2025,762000
190,11,70,1,2,1,593,6257.154658221167,1956,1,0,2024,319000
191,15,27,1,2,2,650,6257.154658221167,1969,0,0,2021,259000
193,15,39,1,2,1,968,6257.154658221167,1910,1,0,2024,362000
194,16,71,1,2,2,813,6257.154658221167,1997,1,0,2024,392000
195,15,29,4,3,2,987,2543.0,1948,0,0,2022,287000
196,17,34,3,6,3,1069,7956.0,1913,1,1,2023,311000
197,15,40,3,4,3,1998,7025.0,1955,0,1,2024,619000
200,22,11,2,4,3,1907,3380.0,1961,1,1,2021,440000
201,26,44,0,2,1,914,4041.0,1994,0,0,2023,343000
202,10,11,1,2,2,503,6257.154658221167,1989,0,0,2021,170000
203,6,11,2,5,2,1242,6763.0,1955,1,1,2024,308000
204,11,17,1,2,2,535,6257.154658221167,1957,0,0,2023,338000
205,7,71,3,3,2,1882,6645.0,1957,0,0,2025,623000
206,15,39,3,4,2,1489,3916.0,1921,0,1,2025,647000
207,13,35,2,5,3,1504,4151.0,2004,1,1,2021,293000
209,8,48,3,2,2,1467,5408.0,1963,1,1,2025,371000
210,15,38,4,3,2,1059,2457.0,1964,1,1,2025,426000
211,12,31,1,3,2,846,6257.154658221167,1960,1,0,2021,380000
212,12,20,1,2,2,833,6257.154658221167,1989,1,0,2021,397000
213,15,36,1,2,2,763,6257.154658221167,2000,1,0,2023,364000
214,23,11,1,1,2,810,6257.154658221167,1979,0,0,2025,343000
215,13,35,3,4,3,1832,5744.0,1973,1,1,2021,409000
216,12,20,3,4,3,1223,4865.0,1987,1,1,2025,680000
217,8,48,1,2,1,878,6257.154658221167,1980,1,0,2024,279000
219,15,69,1,1,1,692,6257.154658221167,1990,1,0,2025,421000
220,17,32,3,4,2,1571,9106.0,1988,0,1,2023,333000
221,28,10,3,3,4,1301,5939.0,1989,1,1,2022,297000
224,23,11,4,3,2,1063,2459.0,2006,1,1,2024,263000
225,6,11,3,3,3,1645,6354.0,2013,1,1,2022,382000
227,10,11,3,2,2,863,9067.0,2014,1,1,2021,298000
228,23,23,1,2,2,580,6257.154658221167,1979,1,0,2022,214000
229,26,33,1,2,2,820,6257.154658221167,1980,0,0,2023,279000
230,13,13,3,3,2,1505,7033.0,1998,1,1,2023,396000
231,12,20,3,3,3,1563,8478.0,2009,1,1,2021,564000
234,28,11,1,3,1,870,6257.154658221167,2016,0,0,2021,279000
235,15,27,4,3,2,963,2555.0,1954,0,0,2022,304000
236,15,21,2,3,4,1856,3998.0,2007,0,1,2023,653000
237,10,11,1,2,2,853,6257.154658221167,2014,0,0,2024,390000
238,11,16,4,4,3,824,3701.0,2017,0,1,2021,315000
243,24,5,3,4,2,1392,4762.0,1992,1,1,2025,407000
244,10,11,1,2,1,564,6257.154658221167,2019,1,0,2025,308000
245,15,21,1,2,2,817,6257.154658221167,2015,1,0,2025,520000
246,4,57,3,4,3,997,7494.0,2006,1,1,2022,384000
247,15,27,3,4,1,1585,5609.0,1962,0,1,2024,520000
248,10,11,1,1,1,843,6257.154658221167,2022,0,0,2023,346000
250,4,60,5,4,4,2010,5034.0,1967,0,0,2025,869000
252,22,11,3,3,3,1642,9235.0,1970,0,0,2024,601000
253,11,41,3,4,4,1511,7961.0,1955,0,0,2022,559000
254,11,41,3,6,1,1220,4062.0,2021,1,1,2025,633000
256,24,5,3,4,4,1105,8249.0,1958,1,1,2024,315000
257,15,38,1,1,2,587,6257.154658221167,2021,1,0,2025,340000
258,17,53,3,3,2,1709,7974.0,2016,0,1,2025,573000
260,12,20,0,3,2,1144,5067.0,2012,0,1,2022,551000
261,15,69,1,3,2,919,6257.154658221167,1929,0,0,2025,537000
262,17,53,4,3,2,1066,3114.0,2009,1,1,2024,350000
263,15,0,1,2,2,737,6257.154658221167,1987,1,0,2025,438000
264,15,50,3,4,3,1508,9208.0,1969,1,1,2023,610000
265,15,21,3,3,1,1670,7592.0,1978,0,1,2025,737000
266,15,50,3,5,3,1201,6040.0,2012,0,1,2023,516000
267,9,2,2,6,3,1819,4402.0,2018,1,1,2025,764000
269,12,49,1,2,1,903,6257.154658221167,2008,1,0,2024,512000
270,26,44,4,3,2,1102,1784.0,1975,1,1,2023,274000
271,6,11,3,2,2,1499,7990.0,1996,1,1,2024,407000
272,15,0,2,4,3,1969,2910.0,1999,1,1,2022,620000
273,18,30,1,2,2,677,6257.154658221167,2003,0,0,2021,396000
274,28,10,4,2,2,1004,3005.0,1965,1,0,2025,253000
275,4,57,1,2,2,639,6257.154658221167,1956,1,0,2024,356000
276,17,12,3,4,3,1510,9440.0,1954,0,1,2021,255000
277,15,66,4,3,2,1095,3222.0,1955,1,1,2024,463000
278,17,32,1,1,1,789,6257.154658221167,2021,0,0,2022,268000
279,13,35,1,2,2,706,6257.154658221167,1971,0,0,2025,342000
280,26,33,3,4,2,1959,6876.0,2006,1,1,2023,581000
281,17,12,1,2,1,607,6257.154658221167,2003,1,0,2021,190000
282,4,55,2,4,3,1763,2838.0,1957,1,1,2024,568000
283,15,69,1,3,1,760,6257.154658221167,1928,0,0,2025,403000
284,14,47,3,4,3,1682,5427.0,1977,0,1,2024,480000
285,17,59,2,4,3,2034,4069.0,1970,0,1,2025,580000
286,11,70,3,5,3,1816,3743.0,1998,1,0,2021,615000
287,11,16,3,3,3,1807,4602.0,2003,1,1,2023,623000
288,3,7,1,2,2,720,6257.154658221167,1969,1,0,2025,442000
289,17,12,4,3,2,1072,2751.0,2005,0,0,2023,247000
290,28,62,3,3,3,1198,6822.0,1967,1,1,2022,276000
291,15,38,1,2,1,639,6257.154658221167,1953,1,0,2023,271000
292,15,40,1,1,1,504,6257.154658221167,2001,1,0,2023,336000
293,13,13,3,5,4,1868,9583.0,1956,1,1,2024,494000
294,23,23,3,4,2,1568,6912.0,1966,1,1,2025,373000
295,17,32,1,3,1,902,6257.154658221167,1920,0,0,2024,299000
296,1,3,1,2,2,477,6257.154658221167,1985,0,0,2024,138000
298,26,18,4,4,2,1024,2128.0,2020,1,0,2025,365000
299,13,13,1,2,1,908,6257.154658221167,1956,0,0,2022,262000
300,27,61,3,5,4,1362,8742.0,2020,1,1,2022,593000
301,23,23,3,3,4,1486,5353.0,1972,1,1,2025,396000
302,15,50,3,6,1,1591,5753.0,1984,0,1,2025,632000
303,17,65,2,5,3,1874,4585.0,1989,1,1,2024,515000
304,17,32,1,2,1,483,6257.154658221167,2004,0,0,2025,270000
305,17,53,3,3,3,1518,5875.0,1984,1,1,2024,435000
306,18,42,1,1,2,618,6257.154658221167,1989,1,0,2023,418000
307,4,55,1,2,1,811,6257.154658221167,1976,1,0,2024,468000
309,15,37,3,4,4,1822,6619.0,2020,0,1,2021,643000
310,26,33,3,4,2,1526,9161.0,1980,1,1,2023,496000
311,22,11,3,4,3,1133,5980.0,1979,1,1,2025,528000
313,22,11,3,4,2,1784,5967.0,1966,1,1,2021,584000
314,17,59,2,3,3,1628,4934.0,2009,1,1,2022,431000
315,4,57,1,1,2,911,6257.154658221167,2000,1,0,2025,496000
316,26,11,4,2,2,1068,2566.0,1999,1,0,2025,431000
317,9,8,5,7,4,2251,4221.0,1984,0,1,2022,612000
318,4,60,1,2,2,588,6257.154658221167,2004,0,0,2025,434000
320,17,32,1,3,2,710,6257.154658221167,1972,1,0,2024,363000
321,25,58,1,2,1,977,6257.154658221167,1973,1,0,2024,225000
322,15,40,1,2,2,773,6257.154658221167,1983,1,0,2023,378000
323,17,65,1,2,2,967,6257.154658221167,1931,0,0,2025,324000
324,26,44,1,2,2,875,6257.154658221167,2010,0,0,2025,378000
325,9,22,2,5,3,1786,6560.0,1987,1,1,2023,600000
327,15,36,3,4,4,1778,7712.0,1980,0,0,2025,774000
329,15,0,2,4,3,1681,4186.0,1976,0,0,2023,629000
330,15,0,2,4,3,1983,3761.0,2000,1,0,2022,819000
333,17,53,3,5,2,1216,6454.0,1937,1,0,2025,457000
335,9,8,1,2,1,767,6257.154658221167,1968,0,0,2024,368000
337,17,4,1,1,1,699,6257.154658221167,2016,0,0,2024,257000
338,15,37,4,4,2,1027,3231.0,1919,0,1,2025,426000
339,24,5,1,2,1,737,6257.154658221167,1996,0,0,2021,242000
340,15,69,2,4,3,1656,6296.0,1957,1,1,2021,634000
341,12,49,1,2,1,638,6257.154658221167,2009,1,0,2025,539000
343,17,4,4,3,2,1109,3296.0,1966,1,1,2022,289000
344,18,42,2,4,4,1674,5246.0,1969,0,1,2022,500000
345,15,0,4,4,2,1126,2946.0,1960,1,1,2021,308000
346,1,3,1,2,2,600,6257.154658221167,1970,1,0,2023,136000
347,28,11,4,4,2,1116,2518.0,1982,1,1,2025,343000
348,9,22,1,2,1,676,6257.154658221167,2015,0,0,2022,469000
349,11,16,3,6,3,1291,8808.0,1996,0,1,2022,492000
350,27,61,3,3,2,1057,4181.0,1980,1,1,2025,553000
351,11,41,3,3,2,1760,8551.0,1993,1,1,2022,557000
352,15,50,3,6,2,1926,7259.0,1955,1,1,2022,620000
356,15,39,3,3,2,1425,5518.0,1970,0,1,2021,464000
357,8,48,1,1,1,685,6257.154658221167,1957,0,0,2023,244000
358,2,6,4,3,1,879,2769.0,2007,0,1,2024,295000
359,15,38,1,2,1,666,6257.154658221167,1983,0,0,2023,336000
360,17,32,3,4,3,1300,4533.0,1976,1,1,2025,401000
361,11,41,1,1,1,719,6257.154658221167,2021,1,0,2022,399000
362,3,7,3,4,2,2103,9378.0,2001,1,1,2024,673000
363,12,49,0,3,1,878,4271.0,2008,1,1,2022,508000
364,14,47,3,4,3,1049,6602.0,1973,1,1,2022,315000
366,3,7,3,3,3,1845,7891.0,1994,0,0,2024,797000
367,27,26,3,3,4,1850,8559.0,1962,1,1,2024,810000
368,13,35,4,3,3,1219,2143.0,1976,1,1,2023,308000
370,15,27,1,2,2,705,6257.154658221167,1999,0,0,2025,383000
371,15,69,1,2,2,885,6257.154658221167,1955,0,0,2023,394000
373,20,46,1,1,1,784,6257.154658221167,1968,0,0,2022,231000
374,21,24,3,4,2,1565,6576.0,2016,1,1,2025,396000
375,11,52,4,3,2,955,2346.0,1969,0,1,2023,467000
377,11,15,3,6,2,1547,8964.0,1985,1,0,2022,660000
379,2,6,3,6,2,1130,8091.0,1958,1,1,2023,339000
380,9,2,4,3,3,1200,4099.0,1994,1,1,2024,381000
381,15,21,3,3,3,891,9058.0,1918,0,1,2023,407000
382,12,31,4,4,1,1246,2797.0,1984,1,1,2024,468000
384,15,45,3,4,2,1205,6245.0,1935,0,1,2024,571000
386,24,11,5,7,3,2664,4930.0,1969,1,1,2021,534000
387,28,10,4,2,2,1269,3038.0,1959,0,1,2025,275000
388,17,65,3,4,4,1958,3495.0,1958,1,0,2021,441000
389,26,44,4,3,1,1176,2919.0,1977,1,1,2023,283000
390,17,32,1,1,1,748,6257.154658221167,1960,0,0,2025,352000
391,17,34,3,3,2,1523,5417.0,2014,1,1,2025,501000
393,17,59,3,3,2,1361,8463.0,2020,1,1,2021,271000
394,17,34,4,3,2,1121,3699.0,1977,1,1,2025,350000
395,12,31,1,2,1,724,6257.154658221167,2009,1,0,2021,418000
396,15,39,3,5,3,1701,7865.0,1971,0,1,2021,443000
397,17,65,3,2,3,1894,6275.0,1985,1,1,2024,545000
399,9,2,4,2,2,810,2159.0,1966,1,1,2024,303000
401,12,31,4,4,2,1158,3530.0,2015,1,1,2024,502000
402,9,19,1,2,2,755,6257.154658221167,1972,0,0,2021,341000
404,14,47,1,2,2,644,6257.154658221167,1989,0,0,2025,372000
405,15,27,3,5,1,1417,5752.0,1992,0,0,2024,548000
407,7,71,3,6,3,1617,5748.0,1985,1,1,2023,546000
408,13,35,4,3,2,1029,3274.0,1989,0,0,2021,226000
409,12,20,3,2,3,1782,7003.0,1964,1,1,2025,863000
410,13,35,3,3,4,1733,6079.0,2007,1,1,2022,372000
412,23,23,2,4,3,1583,5025.0,1989,0,1,2022,312000
413,21,24,3,4,2,1684,8875.0,1979,1,1,2023,315000
414,18,30,1,2,1,813,6257.154658221167,2017,1,0,2023,528000
415,27,28,3,5,2,1205,6018.0,1973,1,1,2022,593000
416,17,32,3,4,2,1011,8583.0,1988,1,1,2022,375000
417,26,44,5,6,4,1851,5943.0,1989,1,1,2023,597000
418,12,31,2,5,3,1629,5129.0,2020,1,0,2021,571000
419,17,53,0,3,2,1169,4267.0,1966,0,1,2024,474000
420,11,15,1,2,2,483,6257.154658221167,1957,1,0,2021,321000
422,17,32,1,2,1,642,6257.154658221167,1970,1,0,2021,205000
425,15,27,3,3,2,1623,9291.0,1948,0,1,2025,601000
427,24,5,4,3,2,1066,3052.0,1989,0,1,2024,283000
428,27,61,2,3,3,1559,4550.0,1976,1,1,2023,612000
429,17,65,3,4,2,1583,9120.0,1938,0,1,2024,466000
430,3,7,1,3,2,691,6257.154658221167,1960,0,0,2024,447000
431,17,53,2,5,2,1549,5840.0,1969,1,1,2025,464000
432,15,27,1,2,2,751,6257.154658221167,2007,1,0,2023,412000
433,7,71,3,3,3,1991,5822.0,1966,1,1,2025,767000
434,5,9,3,5,2,1323,7882.0,1956,0,1,2025,543000
437,18,42,1,2,1,494,6257.154658221167,2020,0,0,2024,334000
439,5,9,3,5,1,1871,3054.0,1998,0,1,2023,573000
440,15,38,3,5,4,1902,4947.0,1964,1,0,2025,701000
442,11,15,3,6,3,1618,7049.0,1984,1,1,2022,715000
443,11,41,1,2,1,649,6257.154658221167,1962,0,0,2024,367000
444,28,11,4,2,2,1099,2819.0,1963,1,0,2024,221000
445,11,41,3,3,3,2096,8305.0,1961,1,1,2022,734000
446,18,30,1,2,1,526,6257.154658221167,2016,1,0,2025,426000
447,17,4,3,2,3,1228,4798.0,1966,1,1,2024,393000
448,17,59,4,4,1,1199,1894.0,2002,1,1,2022,290000
449,5,9,4,4,2,1088,2804.0,1966,0,0,2021,277000
451,24,5,3,4,2,1580,7476.0,2001,1,1,2025,486000
452,6,11,1,3,2,924,6257.154658221167,2017,1,0,2025,381000
453,26,44,2,4,3,1875,5149.0,1993,1,1,2025,475000
454,17,12,1,2,2,689,6257.154658221167,2004,1,0,2022,235000
455,23,11,4,3,2,832,2639.0,1989,0,0,2025,215000
456,27,61,2,4,4,1552,3864.0,1996,1,1,2022,672000
457,5,9,3,4,2,1588,2988.0,1994,1,1,2023,596000
460,4,60,2,5,3,1909,4153.0,1978,1,1,2023,717000
461,24,5,1,1,2,983,6257.154658221167,1965,0,0,2023,298000
463,14,47,1,3,2,785,6257.154658221167,1958,1,0,2023,367000
465,26,33,3,5,3,967,9606.0,2001,1,1,2023,396000
466,4,56,1,2,2,727,6257.154658221167,1991,1,0,2024,399000
467,26,11,3,5,2,1488,7743.0,2010,1,1,2024,519000
468,13,35,1,2,1,688,6257.154658221167,1997,0,0,2025,247000
469,18,30,3,4,2,1431,7507.0,1975,1,1,2024,693000
470,17,63,1,2,2,500,6257.154658221167,1955,0,0,2025,315000
471,15,37,3,4,3,1384,6745.0,1970,1,1,2025,721000
472,4,55,3,3,3,1513,6824.0,1966,1,1,2023,610000
473,8,11,2,4,2,1567,3536.0,1958,1,0,2023,340000
474,16,71,3,3,3,1141,3984.0,1964,0,1,2023,470000
475,5,9,5,5,4,2244,6119.0,1959,1,1,2021,581000
476,10,11,0,3,2,1103,7445.0,1955,1,1,2021,456000
477,17,32,3,3,4,1474,9282.0,1995,1,1,2021,380000
478,16,71,2,4,3,1830,7023.0,1955,1,1,2022,619000
479,27,26,3,6,3,1605,8513.0,1976,1,0,2021,674000
480,15,36,4,2,2,939,2973.0,1959,1,0,2023,354000
481,12,67,2,5,3,1911,6288.0,1968,0,1,2022,642000
482,12,31,2,5,3,1572,5010.0,2015,0,1,2025,808000
483,18,42,4,3,2,1158,2255.0,2005,0,1,2023,498000
484,1,3,3,2,3,1416,5085.0,2003,1,1,2021,212000
485,4,60,4,3,3,1236,4069.0,1998,0,0,2024,502000
486,18,42,3,3,4,1742,4873.0,1977,1,1,2024,607000
487,4,60,3,5,3,1649,4631.0,2009,1,1,2025,871000
488,16,71,3,3,3,1163,6332.0,1995,1,0,2022,432000
489,21,14,3,4,3,1834,4978.0,1960,1,1,2023,357000
490,28,10,3,4,3,1569,4770.0,1966,1,1,2025,435000
491,4,60,1,2,1,571,6257.154658221167,1977,1,0,2024,462000
492,11,17,3,4,3,938,7678.0,1995,1,1,2024,446000
493,28,62,4,2,2,1013,3527.0,2008,1,1,2025,281000
494,2,6,3,6,2,864,4015.0,1988,1,0,2025,415000
495,17,32,1,3,2,723,6257.154658221167,1921,1,0,2021,260000
496,15,50,4,2,2,1034,3068.0,1919,1,1,2023,332000
498,12,49,1,2,1,927,6257.154658221167,1968,0,0,2021,357000
499,2,6,4,3,2,1142,3085.0,1989,1,1,2023,338000
500,11,70,2,5,3,1752,3432.0,1974,1,1,2025,735000
501,27,61,4,3,2,1309,3067.0,1986,1,1,2021,381000
502,26,44,2,5,2,1476,4056.0,1971,1,0,2024,447000
503,26,11,2,5,3,1616,3884.0,1963,1,1,2025,488000
504,24,11,1,2,2,704,6257.154658221167,2015,0,0,2024,326000
505,17,65,3,2,2,1728,6241.0,2009,1,1,2021,433000
